Joint,Angle,DP,Variable,Constant - coeff,Constant - sign,Speed - coeff,Speed - sign,Age - coeff,Age - sign,Sex - coeff,Sex - sign,BMI - coeff,BMI - sign
Knee,FE3,DP1,frame,1.0000,,0.0000,NaN,0.0000,NaN,0.0000,NaN,0.0000,NaN
Knee,FE3,DP1,angle,-6.4477,,5.7988,0.0000,0.0740,0.0000,-1.1415,0.0000,0.0000,0.9151
Knee,FE3,DP1,velocity,-0.3360,,2.0484,0.0000,0.0066,0.0000,0.0000,0.0822,0.0193,0.0000
Knee,FE3,DP1,acceleration,-0.0118,,0.3870,0.0000,0.0000,0.1178,0.0243,0.0000,0.0000,0.7948
Knee,FE3,DP2,frame,11.5034,,6.8393,0.0000,-0.0181,0.0012,0.0000,0.0818,0.0000,0.8514
Knee,FE3,DP2,angle,-11.8654,,35.2934,0.0000,0.1130,0.0000,0.0000,0.3404,0.1893,0.0000
Knee,FE3,DP2,velocity,-0.0251,,-0.1241,0.0000,0.0000,0.2266,0.0000,0.0817,0.0000,0.0936
Knee,FE3,DP2,acceleration,0.0010,,-0.2926,0.0000,-0.0006,0.0000,0.0000,0.9518,0.0000,0.3760
Knee,FE3,DP3,frame,32.8848,,6.4452,0.0000,0.0287,0.0000,0.9387,0.0000,0.0652,0.0091
Knee,FE3,DP3,angle,-5.8096,,0.0000,0.0770,0.0247,0.0014,-0.6719,0.0045,0.2373,0.0000
Knee,FE3,DP3,velocity,0.0348,,0.0530,0.0000,0.0000,0.0153,-0.0099,0.0000,0.0000,0.5078
Knee,FE3,DP3,acceleration,-0.0074,,0.2506,0.0000,0.0000,0.1405,-0.0100,0.0001,0.0000,0.4690
Knee,FE3,DP4,frame,76.5753,,-6.0920,0.0000,0.0000,0.4276,-0.4022,0.0000,0.0000,0.0401
Knee,FE3,DP4,angle,44.1894,,18.5743,0.0000,0.0000,0.1435,-1.1981,0.0000,0.1448,0.0007
Knee,FE3,DP4,velocity,-0.3521,,0.2471,0.0000,0.0009,0.0001,0.0000,0.1710,0.0000,0.9805
Knee,FE3,DP4,acceleration,-0.5273,,0.2978,0.0000,0.0009,0.0000,0.0241,0.0000,-0.0030,0.0001
Knee,FE3,DP5,frame,93.5513,,-4.5830,0.0000,0.0000,0.3334,-0.1022,0.0001,0.0157,0.0068
Knee,FE3,DP5,angle,0.5492,,15.3943,0.0000,0.0000,0.0809,0.0000,0.0323,0.0000,0.0351
Knee,FE3,DP5,velocity,-2.3786,,-1.5189,0.0000,0.0023,0.0072,0.0000,0.0212,0.0000,0.1051
Knee,FE3,DP5,acceleration,0.3370,,-0.2349,0.0000,0.0008,0.0000,-0.0303,0.0000,0.0057,0.0000
Knee,FE3,DP6,frame,101.0000,,0.0000,NaN,0.0000,NaN,0.0000,NaN,0.0000,NaN
Knee,FE3,DP6,angle,-6.4477,,5.7988,0.0000,0.0740,0.0000,-1.1415,0.0000,0.0000,0.9151
Knee,FE3,DP6,velocity,-0.3360,,2.0484,0.0000,0.0066,0.0000,0.0000,0.0822,0.0193,0.0000
Knee,FE3,DP6,acceleration,-0.0118,,0.3870,0.0000,0.0000,0.1178,0.0243,0.0000,0.0000,0.7948
